P4,STF,P4-Spectec,Petr4,HOL4P4
gauntlet_exit_combination_6-bmv2.p4,gauntlet_exit_combination_6-bmv2.stf,PASS,PASS,FAIL
gauntlet_exit_combination_7-bmv2.p4,gauntlet_exit_combination_7-bmv2.stf,PASS,PASS,FAIL
gauntlet_exit_combination_8-bmv2.p4,gauntlet_exit_combination_8-bmv2.stf,PASS,PASS,FAIL
gauntlet_exit_combination_9-bmv2.p4,gauntlet_exit_combination_9-bmv2.stf,PASS,PASS,FAIL
gauntlet_function_if_hdr_return-bmv2.p4,gauntlet_function_if_hdr_return-bmv2.stf,PASS,PASS,FAIL
gauntlet_function_return_cast-bmv2.p4,gauntlet_function_return_cast-bmv2.stf,PASS,PASS,FAIL
gauntlet_function_return-bmv2.p4,gauntlet_function_return-bmv2.stf,PASS,PASS,FAIL
gauntlet_hdr_assign_1-bmv2.p4,gauntlet_hdr_assign_1-bmv2.stf,PASS,PASS,PASS
gauntlet_hdr_assign_2-bmv2.p4,gauntlet_hdr_assign_2-bmv2.stf,PASS,PASS,PASS
gauntlet_hdr_function_cast-bmv2.p4,gauntlet_hdr_function_cast-bmv2.stf,PASS,PASS,FAIL
gauntlet_hdr_in_value-bmv2.p4,gauntlet_hdr_in_value-bmv2.stf,PASS,PASS,FAIL
gauntlet_hdr_init-bmv2.p4,gauntlet_hdr_init-bmv2.stf,PASS,PASS,PASS
gauntlet_hdr_int_initializer-bmv2.p4,gauntlet_hdr_int_initializer-bmv2.stf,PASS,PASS,FAIL
gauntlet_hdr_out_in_action-bmv2.p4,gauntlet_hdr_out_in_action-bmv2.stf,PASS,PASS,FAIL
gauntlet_hdr_set_valid-bmv2.p4,gauntlet_hdr_set_valid-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_1-bmv2.p4,gauntlet_index_1-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_2-bmv2.p4,gauntlet_index_2-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_4-bmv2.p4,gauntlet_index_4-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_5-bmv2.p4,gauntlet_index_5-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_6-bmv2.p4,gauntlet_index_6-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_7-bmv2.p4,gauntlet_index_7-bmv2.stf,PASS,FAIL,FAIL
gauntlet_index_8-bmv2.p4,gauntlet_index_8-bmv2.stf,PASS,PASS,FAIL
gauntlet_index_9-bmv2.p4,gauntlet_index_9-bmv2.stf,PASS,PASS,FAIL
gauntlet_indirect_hdr_assign_1-bmv2.p4,gauntlet_indirect_hdr_assign_1-bmv2.stf,PASS,PASS,PASS
gauntlet_indirect_hdr_assign_2-bmv2.p4,gauntlet_indirect_hdr_assign_2-bmv2.stf,PASS,PASS,PASS
gauntlet_instance_overwrite-bmv2.p4,gauntlet_instance_overwrite-bmv2.stf,PASS,PASS,FAIL
gauntlet_int_casting-bmv2.p4,gauntlet_int_casting-bmv2.stf,PASS,PASS,FAIL
gauntlet_int_slice-bmv2.p4,gauntlet_int_slice-bmv2.stf,PASS,PASS,FAIL
gauntlet_invalid_hdr_assign-bmv2.p4,gauntlet_invalid_hdr_assign-bmv2.stf,PASS,PASS,FAIL
gauntlet_invalid_hdr_short_circuit-bmv2.p4,gauntlet_invalid_hdr_short_circuit-bmv2.stf,PASS,PASS,FAIL
gauntlet_list_as_in_argument-bmv2.p4,gauntlet_list_as_in_argument-bmv2.stf,PASS,PASS,FAIL
gauntlet_mux_eval-bmv2.p4,gauntlet_mux_eval-bmv2.stf,PASS,PASS,FAIL
gauntlet_mux_hdr-bmv2.p4,gauntlet_mux_hdr-bmv2.stf,PASS,PASS,FAIL
gauntlet_mux_typecasting-bmv2.p4,gauntlet_mux_typecasting-bmv2.stf,PASS,FAIL,FAIL
gauntlet_mux_validity-bmv2.p4,gauntlet_mux_validity-bmv2.stf,PASS,PASS,FAIL
gauntlet_nested_ifs_in_function-bmv2.p4,gauntlet_nested_ifs_in_function-bmv2.stf,PASS,PASS,FAIL
gauntlet_nested_slice-bmv2.p4,gauntlet_nested_slice-bmv2.stf,PASS,PASS,PASS
gauntlet_nested_switch-bmv2.p4,gauntlet_nested_switch-bmv2.stf,PASS,PASS,FAIL
gauntlet_nested_table_calls-bmv2.p4,gauntlet_nested_table_calls-bmv2.stf,PASS,PASS,FAIL
gauntlet_return_truncate-bmv2.p4,gauntlet_return_truncate-bmv2.stf,PASS,PASS,PASS
gauntlet_set_invalid-bmv2.p4,gauntlet_set_invalid-bmv2.stf,PASS,PASS,PASS
gauntlet_set_valid_in_function-bmv2.p4,gauntlet_set_valid_in_function-bmv2.stf,PASS,PASS,FAIL
gauntlet_short_circuit-bmv2.p4,gauntlet_short_circuit-bmv2.stf,PASS,PASS,FAIL
gauntlet_side_effect_order_1-bmv2.p4,gauntlet_side_effect_order_1-bmv2.stf,PASS,PASS,PASS
gauntlet_side_effect_order_2-bmv2.p4,gauntlet_side_effect_order_2-bmv2.stf,PASS,PASS,PASS
gauntlet_side_effect_order_3-bmv2.p4,gauntlet_side_effect_order_3-bmv2.stf,PASS,PASS,PASS
gauntlet_side_effect_order_4-bmv2.p4,gauntlet_side_effect_order_4-bmv2.stf,PASS,PASS,FAIL
gauntlet_side_effect_order_5-bmv2.p4,gauntlet_side_effect_order_5-bmv2.stf,PASS,PASS,PASS
gauntlet_side_effects_in_mux-bmv2.p4,gauntlet_side_effects_in_mux-bmv2.stf,PASS,PASS,FAIL
gauntlet_switch_exclusivity-bmv2.p4,gauntlet_switch_exclusivity-bmv2.stf,PASS,PASS,PASS
gauntlet_switch_nested_table_apply-bmv2.p4,gauntlet_switch_nested_table_apply-bmv2.stf,PASS,PASS,PASS
gauntlet_switch_shadowing-bmv2.p4,gauntlet_switch_shadowing-bmv2.stf,PASS,PASS,PASS
gauntlet_table_call_in_expression-bmv2.p4,gauntlet_table_call_in_expression-bmv2.stf,PASS,PASS,FAIL
gauntlet_typedef_cast-bmv2.p4,gauntlet_typedef_cast-bmv2.stf,PASS,PASS,FAIL
gauntlet_uninitialized_bool_struct-bmv2.p4,gauntlet_uninitialized_bool_struct-bmv2.stf,PASS,PASS,FAIL
gauntlet_variable_shadowing-bmv2.p4,gauntlet_variable_shadowing-bmv2.stf,PASS,PASS,FAIL
gauntlet_various_ops-bmv2.p4,gauntlet_various_ops-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
header-bool-bmv2.p4,header-bool-bmv2.stf,PASS,PASS,FAIL
header-stack-ops-bmv2.p4,header-stack-ops-bmv2.stf,PASS,PASS,FAIL
invalid-hdr-warnings3-bmv2.p4,invalid-hdr-warnings3-bmv2.stf,PASS,FAIL,FAIL
ipv6-switch-ml-bmv2.p4,ipv6-switch-ml-bmv2.stf,PASS,FAIL,FAIL
issue-2123-2-bmv2.p4,issue-2123-2-bmv2.stf,PASS,PASS,FAIL
issue-2123-3-bmv2.p4,issue-2123-3-bmv2.stf,PASS,PASS,FAIL
issue1000-bmv2.p4,issue1000-bmv2.stf,PASS,PASS,PASS
issue1025-bmv2.p4,issue1025-bmv2.stf,PASS,PASS,FAIL
issue1049-bmv2.p4,issue1049-bmv2.stf,PASS,FAIL,FAIL
issue1062-1-bmv2.p4,issue1062-1-bmv2.stf,PASS,FAIL,FAIL
issue1097-2-bmv2.p4,issue1097-2-bmv2.stf,PASS,PASS,FAIL
issue1566-bmv2.p4,issue1566-bmv2.stf,PASS,PASS,FAIL
issue1755-1-bmv2.p4,issue1755-1-bmv2.stf,PASS,PASS,PASS
issue1755-bmv2.p4,issue1755-bmv2.stf,PASS,PASS,PASS
issue1768-bmv2.p4,issue1768-bmv2.stf,PASS,PASS,PASS
issue1814-1-bmv2.p4,issue1814-1-bmv2.stf,PASS,PASS,FAIL
issue1824-bmv2.p4,issue1824-bmv2.stf,PASS,PASS,PASS
issue1879-bmv2.p4,issue1879-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
issue2147-bmv2.p4,issue2147-bmv2.stf,PASS,PASS,PASS
issue2153-bmv2.p4,issue2153-bmv2.stf,PASS,PASS,PASS
issue2170-bmv2.p4,issue2170-bmv2.stf,PASS,PASS,PASS
issue2176-bmv2.p4,issue2176-bmv2.stf,PASS,PASS,PASS
issue2205-1-bmv2.p4,issue2205-1-bmv2.stf,PASS,PASS,PASS
issue2205-bmv2.p4,issue2205-bmv2.stf,PASS,PASS,FAIL
issue2221-bmv2.p4,issue2221-bmv2.stf,PASS,PASS,PASS
issue2225-bmv2.p4,issue2225-bmv2.stf,PASS,PASS,FAIL
issue2287-bmv2.p4,issue2287-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
issue2343-bmv2.p4,issue2343-bmv2.stf,PASS,PASS,PASS
issue2375-1-bmv2.p4,issue2375-1-bmv2.stf,PASS,PASS,FAIL
issue2375-bmv2.p4,issue2375-bmv2.stf,PASS,PASS,PASS
issue2383-bmv2.p4,issue2383-bmv2.stf,PASS,PASS,FAIL
issue2392-bmv2.p4,issue2392-bmv2.stf,PASS,PASS,FAIL
issue2488-bmv2.p4,issue2488-bmv2.stf,PASS,PASS,FAIL
issue2498-bmv2.p4,issue2498-bmv2.stf,PASS,PASS,PASS
issue2614-bmv2.p4,issue2614-bmv2.stf,PASS,PASS,PASS
issue3488-1-bmv2.p4,issue3488-1-bmv2.stf,PASS,PASS,FAIL
issue3488-bmv2.p4,issue3488-bmv2.stf,PASS,PASS,FAIL
issue447-1-bmv2.p4,issue447-1-bmv2.stf,PASS,PASS,FAIL
issue447-2-bmv2.p4,issue447-2-bmv2.stf,PASS,PASS,FAIL
issue447-3-bmv2.p4,issue447-3-bmv2.stf,PASS,PASS,FAIL
issue447-4-bmv2.p4,issue447-4-bmv2.stf,PASS,PASS,FAIL
issue447-5-bmv2.p4,issue447-5-bmv2.stf,PASS,PASS,FAIL
issue447-bmv2.p4,issue447-bmv2.stf,PASS,PASS,FAIL
issue510-bmv2.p4,issue510-bmv2.stf,PASS,PASS,PASS
issue561-1-bmv2.p4,issue561-1-bmv2.stf,PASS,PASS,FAIL
issue561-2-bmv2.p4,issue561-2-bmv2.stf,PASS,PASS,FAIL
issue561-3-bmv2.p4,issue561-3-bmv2.stf,PASS,PASS,FAIL
issue561-4-bmv2.p4,issue561-4-bmv2.stf,PASS,PASS,FAIL
issue561-5-bmv2.p4,issue561-5-bmv2.stf,PASS,PASS,FAIL
issue561-6-bmv2.p4,issue561-6-bmv2.stf,PASS,PASS,FAIL
issue561-7-bmv2.p4,issue561-7-bmv2.stf,PASS,PASS,FAIL
issue635-bmv2.p4,issue635-bmv2.stf,PASS,PASS,PASS
issue655-bmv2.p4,issue655-bmv2.stf,PASS,PASS,PASS
issue774-4-bmv2.p4,issue774-4-bmv2.stf,PASS,PASS,FAIL
issue983-bmv2.p4,issue983-bmv2.stf,PASS,PASS,PASS
issue995-bmv2.p4,issue995-bmv2.stf,PASS,PASS,PASS
key-bmv2.p4,key-bmv2.stf,PASS,PASS,PASS
match-on-exprs-bmv2.p4,match-on-exprs-bmv2.stf,PASS,PASS,PASS
opassign1-bmv2.p4,opassign1-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
opassign2-bmv2.p4,opassign2-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
parser_error-bmv2.p4,parser_error-bmv2.stf,PASS,PASS,FAIL
parser-inline-test1.p4,parser-inline-test1.stf,PASS,PASS,FAIL
parser-inline-test10.p4,parser-inline-test10.stf,PASS,PASS,FAIL
parser-inline-test11.p4,parser-inline-test11.stf,PASS,PASS,FAIL
parser-inline-test12.p4,parser-inline-test12.stf,PASS,PASS,FAIL
parser-inline-test13.p4,parser-inline-test13.stf,PASS,PASS,FAIL
parser-inline-test2.p4,parser-inline-test2.stf,PASS,PASS,FAIL
parser-inline-test3.p4,parser-inline-test3.stf,PASS,PASS,FAIL
parser-inline-test4.p4,parser-inline-test4.stf,PASS,PASS,FAIL
parser-inline-test5.p4,parser-inline-test5.stf,PASS,PASS,FAIL
parser-inline-test6.p4,parser-inline-test6.stf,PASS,PASS,FAIL
parser-inline-test7.p4,parser-inline-test7.stf,PASS,PASS,FAIL
parser-inline-test8.p4,parser-inline-test8.stf,PASS,PASS,FAIL
parser-inline-test9.p4,parser-inline-test9.stf,PASS,PASS,FAIL
predication_issue_1.p4,predication_issue_1.stf,PASS,PASS,PASS
predication_issue_2.p4,predication_issue_2.stf,PASS,PASS,FAIL
predication_issue_3.p4,predication_issue_3.stf,PASS,PASS,FAIL
runtime-index-2-bmv2.p4,runtime-index-2-bmv2.stf,PASS,PASS,FAIL
runtime-index-bmv2.p4,runtime-index-bmv2.stf,PASS,PASS,FAIL
saturated-bmv2.p4,saturated-bmv2.stf,PASS,PASS,FAIL
stack_complex-bmv2.p4,stack_complex-bmv2.stf,PASS,PASS,FAIL
subparser-with-header-stack-bmv2.p4,subparser-with-header-stack-bmv2.stf,PASS,PASS,FAIL
table-entries-exact-bmv2.p4,table-entries-exact-bmv2.stf,PASS,PASS,PASS
table-entries-exact-ternary-bmv2.p4,table-entries-exact-ternary-bmv2.stf,PASS,PASS,PASS
table-entries-lpm-bmv2.p4,table-entries-lpm-bmv2.stf,PASS,PASS,PASS
table-entries-optional-bmv2.p4,table-entries-optional-bmv2.stf,PASS,PASS,PASS
table-entries-priority-bmv2.p4,table-entries-priority-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
table-entries-range-bmv2.p4,table-entries-range-bmv2.stf,PASS,PASS,PASS
table-entries-ser-enum-bmv2.p4,table-entries-ser-enum-bmv2.stf,EXCLUDE,EXCLUDE,EXCLUDE
table-entries-ternary-bmv2.p4,table-entries-ternary-bmv2.stf,PASS,PASS,PASS
ternary2-bmv2.p4,ternary2-bmv2.stf,PASS,PASS,FAIL
test-parserinvalidargument-error-bmv2.p4,test-parserinvalidargument-error-bmv2.stf,PASS,PASS,FAIL
union-bmv2.p4,union-bmv2.stf,PASS,PASS,FAIL
union-valid-bmv2.p4,union-valid-bmv2.stf,PASS,PASS,FAIL
union1-bmv2.p4,union1-bmv2.stf,PASS,PASS,FAIL
union2-bmv2.p4,union2-bmv2.stf,PASS,PASS,FAIL
union3-bmv2.p4,union3-bmv2.stf,PASS,PASS,FAIL
v1model-const-entries-bmv2.p4,v1model-const-entries-bmv2.stf,PASS,PASS,PASS
v1model-special-ops-bmv2.p4,v1model-special-ops-bmv2.stf,PASS,FAIL,FAIL
