P4,P4-SpecTec,Petr4
explicit-cast-to-incompatible-type-from-invalid-expr-2.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-invalid-expr.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-kvlist-expr-2.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-kvlist-expr-3.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-kvlist-expr-4.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-kvlist-expr-5.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-kvlist-expr.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-tuple-expr-2.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-tuple-expr-3.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-tuple-expr-4.p4,PASS,PASS
explicit-cast-to-incompatible-type-from-tuple-expr.p4,PASS,PASS
explicit-cast-to-int-from-bit-of-different-width.p4,PASS,PASS
explicit-cast-to-list-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-non-bool-from-bool.p4,PASS,PASS
explicit-cast-to-stack-from-incompatible-tuple-expr.p4,PASS,PASS
explicit-cast-to-stack-from-longer-kvlist-expr.p4,PASS,PASS
explicit-cast-to-stack-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-struct-from-kvlist-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-struct-from-kvlist-expr-with-unmatched-field.p4,PASS,PASS
explicit-cast-to-struct-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
explicit-cast-to-struct-from-tuple-expr-with-unmatched-field.p4,PASS,PASS
explicit-cast-to-tuple-from-longer-tuple-expr-with-default.p4,PASS,PASS
explicit-cast-to-tuple-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
expr-binary-bitwise-on-unsupported-types.p4,PASS,PASS
expr-binary-compare-non-coercible-types.p4,PASS,PASS
expr-binary-compare-unsupported-types.p4,PASS,PASS
expr-binary-div-on-non-coercible-types.p4,PASS,PASS
expr-binary-logical-on-non-coercible-types.p4,PASS,PASS
expr-binary-logical-on-unsupported-types.p4,PASS,PASS
expr-binary-sat-on-non-coercible-types.p4,PASS,PASS
expr-binary-sat-on-unsupported-types.p4,PASS,PASS
expr-binary-shift-by-negative.p4,PASS,PASS
expr-binary-shift-on-unsupported-type.p4,PASS,PASS
expr-bitslice-high-negative.p4,PASS,PASS
expr-bitslice-high-non-lctk.p4,PASS,PASS
expr-bitslice-high-unsupported-type.p4,PASS,PASS
expr-bitslice-low-non-lctk.p4,PASS,PASS
expr-bitslice-low-unsupported-type.p4,PASS,PASS
expr-call-on-type-not-found.p4,PASS,PASS
expr-call-on-type-unsupported-method.p4,PASS,PASS
expr-call-on-type-with-arguments.p4,PASS,PASS
expr-cast-to-illformed-type.p4,PASS,PASS
expr-cast-to-type-with-dont-care.p4,PASS,PASS
expr-expraccess-on-header-with-no-such-field.p4,PASS,PASS
expr-expraccess-on-table-apply-result-with-no-such-field.p4,PASS,PASS
expr-expraccess-on-union-with-no-such-field.p4,PASS,PASS
expr-expraccess-on-unsupported-type-2.p4,PASS,PASS
expr-expraccess-on-unsupported-type.p4,PASS,PASS
expr-indexaccess-on-unsupported-type-2.p4,PASS,PASS
expr-indexaccess-on-unsupported-type-3.p4,PASS,PASS
expr-indexaccess-on-unsupported-type.p4,PASS,PASS
expr-indexaccess-with-negative-index.p4,PASS,PASS
expr-last-access-on-non-stack-2.p4,PASS,PASS
expr-last-access-on-non-stack.p4,PASS,PASS
expr-lastIndex-access-on-non-stack-2.p4,PASS,PASS
expr-lastIndex-access-on-non-stack.p4,PASS,PASS
expr-mask-on-non-coercible-types.p4,PASS,PASS
expr-mask-on-unsupported-types.p4,PASS,PASS
expr-next-access-on-non-stack.p4,PASS,PASS
expr-range-on-unsupported-types.p4,PASS,PASS
expr-select-transition-to-non-existant-value.p4,PASS,PASS
expr-select-transition-to-non-state.p4,PASS,PASS
expr-select-with-expression-list-and-tuple-keyset-of-different-arity.p4,PASS,PASS
expr-select-with-expression-list-and-tuple-keyset-with-field-of-incompatible-type-2.p4,PASS,PASS
expr-select-with-expression-list-and-tuple-keyset-with-field-of-incompatible-type.p4,PASS,PASS
expr-select-with-single-expression-and-keyset-of-incompatible-types.p4,PASS,PASS
expr-select-with-single-expression-and-tuple-keyset.p4,PASS,PASS
expr-ternary-with-non-coercible-branch-types.p4,PASS,PASS
expr-typeaccess-on-enum-with-no-such-field.p4,PASS,PASS
expr-typeaccess-on-serenum-with-no-such-field.p4,PASS,PASS
expr-typeaccess-on-unsupported-type-2.p4,PASS,PASS
expr-typeaccess-on-unsupported-type.p4,PASS,PASS
expr-unary-logical-on-unsupported-type.p4,PASS,PASS
expr-unary-minus-on-unsupported-type.p4,PASS,PASS
expression_e.p4,PASS,PASS
extern-abstract-method-parameter-type-illformed.p4,PASS,PASS
extern-abstract-method-parameter-type-unsupported-after-specialization.p4,PASS,PASS
extern-abstract-method-parameter-type-unsupported.p4,PASS,PASS
extern-abstract-method-return-type-has-dont-care.p4,PASS,FAIL
extern-abstract-method-with-extern-name.p4,PASS,PASS
extern-method-impl-illformed.p4,PASS,PASS
extern-method-impl-of-existing-abstract-method-with-different-parameter-direction.p4,PASS,PASS
extern-method-impl-of-existing-abstract-method-with-different-parameter-type.p4,PASS,PASS
extern-method-impl-of-existing-abstract-method-with-different-return-type.p4,PASS,PASS
extern-method-impl-of-existing-non-abstract-method.p4,PASS,PASS
extern-method-impl-return-type-has-dont-care.p4,PASS,PASS
extern-method-impl-without-return.p4,PASS,PASS
extern-method-overload-resolution-fails.p4,PASS,FAIL
extern.p4,PASS,PASS
extract.p4,EXCLUDE,EXCLUDE
extract1.p4,EXCLUDE,EXCLUDE
factory-err2.p4,PASS,PASS
function1_e.p4,PASS,PASS
function_e.p4,PASS,PASS
function_e1.p4,PASS,PASS
function_e2.p4,PASS,PASS
functors2_e.p4,PASS,PASS
functors3_e.p4,PASS,PASS
generic-struct-self-nested.p4,PASS,PASS
generic1_e.p4,PASS,PASS
globalVar_e.p4,PASS,PASS
header1_e.p4,PASS,PASS
header2_e.p4,PASS,PASS
header3.p4,PASS,PASS
implicit-cast-to-header-from-kvlist-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-header-from-kvlist-expr-with-unmatched-field.p4,PASS,PASS
implicit-cast-to-header-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-default-expr.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-int.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-invalid-expr-2.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-invalid-expr.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-kvlist-expr-2.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-kvlist-expr-3.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-kvlist-expr.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-serenum-2.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-serenum.p4,PASS,PASS
implicit-cast-to-incompatible-type-from-tuple-expr-with-default.p4,PASS,PASS
implicit-cast-to-list-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-stack-from-kvlist-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-stack-from-tuple-expr-with-different-length.p4,PASS,PASS
implicit-cast-to-struct-from-kvlist-expr-with-unmatched-field.p4,PASS,PASS
implicit-cast-to-struct-from-tuple-expr-with-field-of-incompatible-type-2.p4,PASS,PASS
implicit-cast-to-struct-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-tuple-from-kvlist-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit-cast-to-tuple-from-tuple-expr-with-field-of-incompatible-type.p4,PASS,PASS
implicit.p4,PASS,PASS
incorrect-label.p4,PASS,PASS
init-entries-error1-bmv2.p4,PASS,PASS
init-entries-error2-bmv2.p4,PASS,PASS
init-entries-error3-bmv2.p4,PASS,PASS
inro.p4,PASS,PASS
instantiate-at-control-apply-of-unsupported-object-type.p4,PASS,PASS
instantiate-at-control-block-of-unsupported-object-type.p4,PASS,PASS
instantiate-at-parser-block-of-unsupported-object-type.p4,PASS,PASS
instantiate-at-parser-state-of-unsupported-object-type.p4,PASS,PASS
interface1_e.p4,PASS,PASS
interface_e.p4,PASS,PASS
invalid-invalid.p4,PASS,PASS
issue-2123_e.p4,EXCLUDE,EXCLUDE
issue1006-1.p4,PASS,PASS
issue1059.p4,PASS,PASS
issue1202.p4,PASS,PASS
issue122.p4,EXCLUDE,EXCLUDE
issue1230.p4,PASS,PASS
issue1296.p4,PASS,FAIL
issue1331.p4,PASS,PASS
issue1336.p4,PASS,PASS
issue1542.p4,PASS,PASS
issue1557-bmv2.p4,PASS,PASS
issue1580.p4,EXCLUDE,EXCLUDE
issue1732.p4,EXCLUDE,EXCLUDE
issue1777-bmv2.p4,EXCLUDE,EXCLUDE
issue1803_same_table_name.p4,EXCLUDE,EXCLUDE
issue1932-1.p4,PASS,PASS
issue1932-2.p4,PASS,PASS
issue1932.p4,EXCLUDE,EXCLUDE
issue1944.p4,PASS,FAIL
issue1949-bmv2.p4,EXCLUDE,EXCLUDE
issue1986-1.p4,PASS,PASS
issue1986.p4,PASS,PASS
issue2021.p4,PASS,PASS
issue2033.p4,PASS,PASS
issue2036-1.p4,PASS,PASS
issue2036-2.p4,PASS,PASS
issue2036.p4,PASS,PASS
issue2206.p4,PASS,PASS
issue2220.p4,PASS,PASS
issue2230-1-bmv2.p4,PASS,FAIL
issue2230.p4,PASS,PASS
issue2260-1.p4,PASS,FAIL
issue2267.p4,PASS,PASS
issue2283_2-bmv2.p4,EXCLUDE,EXCLUDE
issue2290.p4,PASS,PASS
issue2317.p4,PASS,PASS
issue2332.p4,PASS,PASS
issue2335.p4,PASS,PASS
issue2354-1.p4,PASS,FAIL
issue2354.p4,PASS,PASS
issue2373.p4,EXCLUDE,EXCLUDE
issue2413.p4,PASS,PASS
issue2441.p4,PASS,PASS
issue2444-1.p4,PASS,PASS
issue2454.p4,PASS,PASS
issue2496.p4,EXCLUDE,EXCLUDE
issue2525.p4,PASS,PASS
issue2544_recursive.p4,PASS,PASS
issue2544_self_ref.p4,PASS,FAIL
issue2544_shadowing1.p4,EXCLUDE,EXCLUDE
issue2545.p4,EXCLUDE,EXCLUDE
issue2597.p4,PASS,PASS
issue2835-bmv2.p4,PASS,PASS
issue3045-1.p4,PASS,PASS
issue3045-2.p4,PASS,PASS
issue3045.p4,PASS,PASS
issue3057-1.p4,PASS,PASS
issue306.p4,PASS,PASS
issue3153.p4,PASS,FAIL
issue3170-1.p4,PASS,PASS
issue3170.p4,PASS,PASS
issue3188.p4,PASS,PASS
issue3197-e.p4,PASS,PASS
issue3210.p4,PASS,PASS
issue3221.p4,PASS,FAIL
issue3233.p4,EXCLUDE,EXCLUDE
issue3246.p4,PASS,PASS
issue3264.p4,PASS,PASS
issue3271-1.p4,PASS,PASS
issue3271.p4,PASS,FAIL
issue3273.p4,PASS,PASS
issue3282.p4,PASS,FAIL
issue3285.p4,PASS,PASS
issue3291.p4,EXCLUDE,EXCLUDE
issue3293.p4,PASS,PASS
issue3299.p4,PASS,PASS
issue3304.p4,PASS,PASS
issue3305.p4,PASS,PASS
issue3316.p4,PASS,FAIL
issue3335.p4,PASS,PASS
issue3338.p4,PASS,PASS
issue3345.p4,PASS,PASS
issue3346.p4,PASS,FAIL
issue3359.p4,PASS,PASS
issue3363.p4,EXCLUDE,EXCLUDE
issue3378.p4,PASS,PASS
issue3430.p4,EXCLUDE,EXCLUDE
issue3442.p4,PASS,FAIL
issue345.p4,PASS,PASS
issue3522.p4,PASS,FAIL
issue3534.p4,PASS,FAIL
issue3589.p4,PASS,PASS
issue3611.p4,PASS,PASS
issue3613.p4,EXCLUDE,EXCLUDE
issue3622.p4,PASS,PASS
issue3623-2.p4,PASS,PASS
issue3623-3.p4,PASS,PASS
issue3644-1.p4,EXCLUDE,EXCLUDE
issue3644-2.p4,EXCLUDE,EXCLUDE
issue3644.p4,EXCLUDE,EXCLUDE
issue3656.p4,PASS,PASS
issue3671-2.p4,PASS,PASS
issue3727.p4,PASS,PASS
issue3750-1.p4,PASS,PASS
issue3750.p4,PASS,PASS
issue3751.p4,PASS,FAIL
issue3787.p4,PASS,PASS
issue3808-1.p4,PASS,PASS
issue3808.p4,PASS,PASS
issue3813.p4,PASS,FAIL
issue3814.p4,PASS,FAIL
issue3846.p4,PASS,FAIL
issue3847.p4,PASS,FAIL
issue388.p4,PASS,PASS
issue394.p4,PASS,PASS
issue401.p4,PASS,PASS
issue407-1.p4,PASS,PASS
issue413.p4,PASS,PASS
issue4136.p4,PASS,PASS
issue4140.p4,PASS,FAIL
issue4142.p4,PASS,PASS
issue4144.p4,EXCLUDE,EXCLUDE
issue4146.p4,EXCLUDE,EXCLUDE
issue435.p4,PASS,PASS
issue4365_no_demote_error_to_info.p4,PASS,PASS
issue4365_no_demote_error_to_warning.p4,PASS,PASS
issue4365_no_disable_error.p4,PASS,PASS
issue473.p4,EXCLUDE,EXCLUDE
issue477.p4,EXCLUDE,EXCLUDE
issue478.p4,EXCLUDE,EXCLUDE
issue5254_dup_switch_case_label_error.p4,PASS,PASS
issue532.p4,EXCLUDE,EXCLUDE
issue561-1.p4,PASS,PASS
issue584.p4,PASS,PASS
issue600.p4,EXCLUDE,EXCLUDE
issue67.p4,PASS,PASS
issue764.p4,PASS,PASS
issue774-1.p4,PASS,PASS
issue774-2.p4,PASS,PASS
issue803-1.p4,PASS,PASS
issue807.p4,PASS,PASS
issue816-1.p4,PASS,PASS
issue816.p4,PASS,PASS
issue818.p4,PASS,PASS
issue819-1.p4,PASS,PASS
issue819.p4,PASS,PASS
key-name.p4,EXCLUDE,EXCLUDE
list-error.p4,PASS,PASS
loop1-err.p4,PASS,PASS
loop2-err.p4,PASS,PASS
loop3-err.p4,PASS,PASS
lvalue-assign-to-unsupported-type.p4,PASS,PASS
lvalue-bitslice-on-non-lvalue.p4,PASS,PASS
lvalue-expraccess-on-non-lvalue.p4,PASS,PASS
lvalue-indexaccess-on-non-value.p4,PASS,PASS
method-call-apply-not-found.p4,PASS,PASS
method-call-apply-on-parser-with-no-apply.p4,PASS,PASS
method-call-apply-on-unsupported-type.p4,PASS,PASS
method-call-isValid-on-unsupported-type-2.p4,PASS,PASS
method-call-isValid-on-unsupported-type.p4,PASS,PASS
method-call-pop_front-on-non-stack-2.p4,PASS,PASS
method-call-pop_front-on-non-stack.p4,PASS,PASS
method-call-setValid-on-unsupported-type-2.p4,PASS,PASS
method-call-setValid-on-unsupported-type.p4,PASS,PASS
methodArgDontcare.p4,PASS,PASS
minWidth.p4,PASS,PASS
missing_actions.p4,PASS,PASS
missing_match.p4,PASS,PASS
module_e.p4,PASS,PASS
multicast-bmv2.p4,EXCLUDE,EXCLUDE
mux_e.p4,PASS,PASS
name-duplicate-parameter-names.p4,PASS,FAIL
name-duplicate-type-parameter-names-2.p4,PASS,PASS
name-duplicate-type-parameter-names.p4,PASS,PASS
name-duplicate-typedef-names.p4,PASS,PASS
named-fail.p4,PASS,PASS
named-fail1.p4,PASS,PASS
neg.p4,PASS,PASS
newtype-err.p4,PASS,PASS
next.p4,PASS,PASS
nostart.p4,PASS,PASS
not_bound.p4,PASS,PASS
p_e.p4,PASS,PASS
package.p4,PASS,PASS
param.p4,PASS,PASS
parameter-type-illformed.p4,PASS,PASS
parameter-type-incompatible-with-default-value.p4,PASS,PASS
parser-arg.p4,PASS,PASS
persistent_e.p4,PASS,PASS
pr2918.p4,PASS,PASS
psa-meter2.p4,PASS,PASS
psa-type-hdr.p4,PASS,FAIL
push_nonconstant.p4,PASS,PASS
range_e.p4,PASS,PASS
scope.p4,PASS,PASS
select-struct.p4,PASS,FAIL
select-varbits.p4,PASS,FAIL
self-call.p4,PASS,PASS
serEnumImplCast.p4,PASS,FAIL
serenum-type.p4,PASS,PASS
serenum-typedef.p4,PASS,PASS
shift-int-non-const.p4,PASS,PASS
shift_e.p4,PASS,PASS
signed.p4,PASS,PASS
signs.p4,PASS,PASS
slice_out_of_bound.p4,PASS,PASS
spec-ex32_e.p4,EXCLUDE,EXCLUDE
spec-issue1297-string-cat-err-0.p4,PASS,PASS
spec-issue1297-string-cat-err-1.p4,PASS,PASS
spec-issue1297-string-cat-err-2-anno.p4,EXCLUDE,EXCLUDE
spec-issue1297-string-cat-err-3-anno.p4,EXCLUDE,EXCLUDE
spec-issue563.p4,PASS,PASS
stack-const-index-out-of-bounds-bmv2.p4,PASS,FAIL
stack1_e.p4,PASS,PASS
stack2.p4,PASS,PASS
stack3.p4,PASS,PASS
stack_e.p4,PASS,PASS
stmt-return-from-unsupported-scope.p4,PASS,PASS
stmt-switch-on-action-run-with-top-level-label.p4,PASS,PASS
stmt-switch-on-unsupported-type.p4,PASS,PASS
stmt-switch-with-duplicate-labels.p4,PASS,PASS
stmt-switch-without-default-label.p4,PASS,PASS
string-e.p4,PASS,PASS
string-e1.p4,PASS,PASS
string-e2.p4,PASS,PASS
struct_e.p4,PASS,PASS
structure-valued-expr-errs-1.p4,PASS,PASS
structure-valued-expr-errs-2.p4,PASS,PASS
structured-annotation-e.p4,PASS,PASS
structured-annotation-e1.p4,EXCLUDE,EXCLUDE
structured-annotation-e2.p4,EXCLUDE,EXCLUDE
structured-annotation-e3.p4,EXCLUDE,EXCLUDE
table-action-duplicate-actions.p4,PASS,FAIL
table-action-function-not-found.p4,PASS,PASS
table-custom-property-largest_priority_wins-non-bool.p4,PASS,FAIL
table-custom-property-priority_delta-non-positive.p4,PASS,FAIL
table-custom-property-priority_delta-unsupported-type.p4,PASS,PASS
table-entries-decl-order.p4,PASS,PASS
table-entries-error.p4,EXCLUDE,EXCLUDE
table-entries-exact-ternary.p4,PASS,PASS
table-entries-exact.p4,PASS,PASS
table-entries-lpm-2.p4,PASS,FAIL
table-entries-lpm.p4,PASS,PASS
table-entries-optional-2-bmv2.p4,PASS,FAIL
table-entries-outside-table.p4,PASS,PASS
table-entries-range.p4,PASS,PASS
table-entries-ternary.p4,PASS,PASS
table-entry-action-not-found.p4,PASS,PASS
table-entry-const-with-numeric-priority.p4,PASS,PASS
table-entry-default-on-exact-match.p4,PASS,PASS
table-entry-keyset-and-table-key-non-coercible-types-2.p4,PASS,PASS
table-entry-keyset-and-table-key-non-coercible-types-3.p4,PASS,PASS
table-entry-keyset-and-table-key-non-coercible-types-4.p4,PASS,PASS
table-entry-keyset-and-table-key-non-coercible-types-5.p4,PASS,PASS
table-entry-keyset-and-table-key-non-coercible-types.p4,PASS,PASS
table-entry-keyset-any-on-exact-match.p4,PASS,PASS
table-entry-lpm-with-priority.p4,PASS,PASS
table-entry-mask-on-range-match.p4,PASS,PASS
table-entry-range-on-range-match.p4,PASS,PASS
table-key-of-unsupported-type.p4,PASS,PASS
table-key-with-match-kind-of-incompatible-type.p4,PASS,PASS
table-key-with-unmatched-match-kind.p4,PASS,PASS
template_e.p4,PASS,PASS
tuple-left.p4,PASS,PASS
tuple-newtype.p4,PASS,FAIL
tuple-to-header.p4,PASS,PASS
twovarbit.p4,EXCLUDE,EXCLUDE
type-bit-with-negative-width.p4,PASS,PASS
type-bit-with-non-lctk-width.p4,PASS,PASS
type-conflicting-inferred-types.p4,PASS,PASS
type-different-type-parameter-arity-after-type-inference.p4,PASS,PASS
type-field.p4,PASS,PASS
type-header-with-duplicate-fields.p4,PASS,PASS
type-in-expr-lex0.p4,PASS,PASS
type-in-expr-lex1.p4,PASS,PASS
type-in-expr.p4,EXCLUDE,EXCLUDE
type-int-with-non-lctk-width.p4,PASS,PASS
type-int-with-non-natural-width.p4,PASS,PASS
type-list-of-illformed-type.p4,PASS,PASS
type-params_e.p4,PASS,PASS
type-stack-of-unsupported-type-after-specialization.p4,PASS,PASS
type-stack-with-negative-size.p4,PASS,PASS
type-struct-with-duplicate-fields.p4,PASS,PASS
type-tuple-of-unsupported-type.p4,PASS,PASS
type-union-of-unsupported-type-after-specialization.p4,PASS,PASS
type-varbit-with-negative-width.p4,PASS,PASS
type-variable-not-found.p4,PASS,PASS
typecheck1_e.p4,PASS,PASS
typecheck_e.p4,PASS,PASS
typedef-and-type-definitions.p4,PASS,FAIL
underscore1_e.p4,PASS,PASS
underscore2_e.p4,PASS,PASS
underscore3_e.p4,PASS,PASS
underscore_e.p4,PASS,PASS
virtual1.p4,PASS,PASS
virtual2.p4,PASS,PASS
virtual3.p4,PASS,PASS
virtual4.p4,PASS,PASS
virtual5.p4,PASS,PASS
virtual6.p4,PASS,PASS
width1_e.p4,PASS,PASS
width_e.p4,PASS,FAIL
wrong-cast.p4,PASS,PASS
